default,Identifier,Remarks,Filter,eng enc ena enz eni ens enj enb enl ent enw,cs,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,jp,ko,nl,pl,pt,ptg,ro,ru,sr,
,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,
Press any key or button.,PRESSKEY,,,,Stiskni klávesu.,Drücke eine Taste,Πάτα οποιοδήποτε πλήκτρο.,Premu klavon.,Presiona una tecla.,,Paina jotain näppäintä.,Appuyez sur une touche.,Nyomj meg egy gombot.,Premi un tasto.,何かキーを押せ,키를 누르시오.,Druk op een toets.,Wciśnij dowolny klawisz.,Aperte qualquer tecla.,Carrega numa tecla qualquer.,Apasă o tastă.,Нажмите любую клавишу.,Притисните било који тастер.,
Nice! It’s a secret area!,SECRETMESSAGE,,,,Tajemství odhaleno!,Ein Geheimnis wurde enthüllt!,Ένα μυστικό αποκαλύφθηκε!,Sekreto estas malkaŝita!,¡Se ha revelado un secreto!,,Sala löydetty!,Vous avez découvert un secret!,Egy rejtekhely feltárva!,È stato svelato un segreto! ,シークレットを解き明かした!,비밀 발견!,Een geheim is onthuld!,Znaleziono sekret!,Um segredo foi revelado!,,Ai găsit un secret!,Обнаружен тайник!,Откривена тајна!,
"Useless mode ON.
",D_DEVSTR,,,,Zbytečný režim ZAP.,Nutzloser Modus EIN.,Άχρηστη λειτουργία είναι ΑΝΟΙΧΤΗ,Senutila reĝimo AKTIVA.,"Modo inútil ACTIVADO.
",,Hyödytön tila PÄÄLLÄ.,"Mode inutile ON.
",Haszontalan mód BE.,"Modalità inutile ATTIVATA.
",このモードは使わないでおけ,쓸모없는 모드 켬.,Nutteloze modus AAN.,Tryb bezużyteczny WŁĄCZONY.,"Modo inútil ATIVADO.
",,Modul inutil ACTIVAT.,Включён режим разработчика.,Програмерски режим УКЉУЧЕН.,
"Are you sure you want to
quit this great game?",QUITMSG,,,,"Jsi si jist@[adj_cs], že chceš opustit tuto skvělou hru?","Willst du dieses großartige Spiel
wirklich beenden?",Είσαι σίγουρος ότι θέλεις να κλείσεις αυτο το σπουδαίο παιχνίδι,,"Ĉu vi certas, ke vi volas ĉesigi
ĉi tiun bonegan ludon?",¿Estás segur@[ao_esp] que deseas salir de este gran juego?,,Haluatko varmasti lopettaa tämän mahtavan pelin?,"Voulez-vous vraiment 
quitter cet excellent jeu?","Biztosan kilépnél ebből
a nagyszerű játékból?","Sei sicuro di volere uscire
da questo grandioso gioco?","本当にこの素晴らしい運命を
終わらせるのですね?",진짜 이 개쩌는 게임을 꺼버릴려고?,"Weet je zeker dat je wilt stoppen 
met dit geweldige spel?","Czy na pewno chcesz
wyjść z tej świetnej gry?","Tem certeza que deseja sair 
deste excelente jogo?","Tem a certeza que deseja sair 
deste excelente jogo?",Ești sigur că vrei să ieși din acest joc grozav?,"Ты действительно хочешь выйти
из этой замечательной игры?",Желиш ли заиста да изађеш из ове чудесне игре?
"You can't do load while in a net game!

Press a key.",LOADNET,"In some languages, it may make more sense to translate “Press a key” as “Press any key.”",,,"Nemůžeš načíst hru, když hraješ síťovou hru!

Stiskni libovolnou klávesu.","Du kannst während eines Netzwerkspiels keinen Spielstand laden.

Drücke eine Taste","Δέν μπορίς να φορτώσεις σε ένα δικτυακό παιχνίδι !

Πάτα οπιοδήποτε πλήκτρο.","Oni ne povas ŝargi en ret-ludo!

Premu klavon.","¡No puedes cargar en una partida en línea!

Presiona una tecla.",,"Et voi ladata verkkopelin aikana!

Paina jotain näppäintä.","Impossible de charger une partie
pendant un jeu en réseau!

Appuyez sur une touche.","Nem tudsz betölteni miközben net játékban vagy!

Nyomj meg egy gombot.","Non puoi caricare una partita durante un netgame!

Premi un tasto.","オンラインプレイでは ロードできない!

何かキーを押せ
","멀티플레이 중엔 게임을 불러올 수 없습니다!

키를 누르시오.","Je kunt niet laden tijdens een netwerkspel!

Druk op een toets.","Nie możesz wczytać podczas gry sieciowej!

Wciśnij dowolny klawisz.","Não pode carregar um jogo durante um jogo em rede!

Aperte qualquer tecla.","Não pode carregar um jogo durante um jogo em rede!

Carrega numa tecla qualquer.","Nu poți face o încărcare în timpul unui joc în rețea!

Apasă orice tastă.","Невозможно загрузить сохранение в сетевой игре!

Нажмите любую клавишу.","Не можете да учитате чување током мрежне игре!

Притисните тастер.",
"You can't quickload during a netgame!

Press a key.",QLOADNET,,,,"Nemůžeš rychle načíst hru, když hraješ síťovou hru!

Stiskni libovolnou klávesu.","Du kannst während eines Netzwerkspiels nicht schnellladen.

Drücke eine Taste","Δέν μπορίς να κάνεις γρήγορη φόρτωση σε ένα δικτυακό παιχνίδι !

Πάτα οποιδήποτε πλήκτρο.","Oni ne povas rapidŝargi en ret-ludo!

Premu klavon.","¡No puedes cargar una partida mientras juegues en línea!

Presiona una tecla.",,"Et voi pikaladata verkkopelin aikana!

Paina jotain näppäintä.","Chargement Rapide impossible
pendant un jeu en réseau!

Appuyez sur une touche.","Nem tudsz gyorstölteni miközben net játékban vagy!

Nyomj meg egy gombot.","Non puoi fare un quickload durante un netgame!

Premi un tasto.","オンラインプレイでは ロードできない!

何かキーを押せ","멀티플레이 중엔 빠른 불러오기를 할 수 없습니다!

키를 누르시오.","Je kunt niet snelladen tijdens een netwerkspel!

Druk op een toets.","Nie możesz użyć szybkiego wczytania podczas gry sieciowej!

Wciśnij dowolny klawisz.","Não pode carregar um quickload durante um jogo em rede!

Aperte qualquer tecla.","Não pode carregar um quickload durante um jogo em rede!

Carrega numa tecla qualquer.","Nu poți face o încărcare rapidă în timpul unui joc
în rețea!

Apasă orice tastă.","Невозможно загрузить быстрое сохранение в сетевой игре!

Нажмите любую клавишу.","Не можете да учитате брзо чување током мрежне игре!

Притисните тастер.",
"You haven't picked a quicksave slot yet!

Press a key.",QSAVESPOT,,,,"Ještě jsi nevybral slot pro rychlé uložení!

Stiskni libovolnou klávesu.","Du hast noch keine Schnellspeicherposition gewählt.

Drücke eine Taste","Δέν έχεις επιλέξει μια θυρίδα γρήγορης αποθήκευσεις ακόμα!

Πάτα οποιδήποτε πλήκτρο.","Vi ankoraŭ ne elektis rapidkonservingon!

Premu klavon.","¡No has seleccionado una ranura de guardado rápido!

Presiona una tecla.",,"Et ole vielä valinnut pikatallennuslokeroa!

Paina jotain näppäintä.","Vous n'avez pas choisi un
emplacement de sauvegarde!

Appuyez sur une touche.","Nem választottál ki egy gyorsmentés mezőt még!

Nyomj meg egy gombot.","Non hai ancora scelto uno slot per il quicksave!

Premi un tasto.","オンラインプレイでは セーブできない!

何かキーを押せ","멀티플레이 중엔 빠른 저장을 할 수 없습니다!

키를 누르시오.","Je hebt nog geen sneloplagplek gekozen!

Druk op een toets.","Nie wybrano jeszcze miejsca do szybkiego zapisu!

Wciśnij dowolny klawisz.","Você ainda não escolheu um slot de quicksave!

Aperte qualquer tecla.","Você ainda não escolheu um slot de quicksave!

Carrega numa tecla qualquer.","Nu ai ales un slot pentru încărcare rapidă încă!

Apasă orice tastă.","У Вас не выбран слот быстрого сохранения!

Нажмите любую клавишу.","Нисте још изабрали слот за брзо чување!

Притисните тастер.",
"You can't start a new game
while in a network game.

Press a key.",NEWGAME,,,,"Dokud jsi v síťové hře, nemůžeš začít novou hru.

Stiskni libovolnou klávesu.",Du kannst während eines Netzwerkspiels kein neues Spiel starten.,"Δέν μπορείς να ξεκινήσεις ένα νέο παιχνίδι ενώ εισαι σε ένα δικτυακό παιχνίδι.

Πάτα οποιδήποτε πλήκτρο.","Oni ne povas lanĉi novan ludon,
kiam en ret-ludo.

Premu klavon.","No puedes iniciar un nuevo juego mientras estés jugando en línea.

Presiona una tecla.",,"Et voi aloittaa uutta peliä verkkopelin aikana.

Paina jotain näppäintä.","Vous ne pouvez pas lancer
une nouvelle partie en réseau.

Appuyez sur une touche.","Nem tudsz egy új játékot kezdeni 
egy hálozatos játékban.

Nyomj meg egy gombot.","Non puoi iniziare una nuova partita
durante una partita in rete.

Premi un tasto.","オンラインプレイでは勝手にニューゲームは
始められない!

何かキーを押せ","멀티플레이 중엔 새로운 게임을 시작할 수 없습니다.

키를 누르시오.","Je kunt geen nieuw spel starten 
wanneer je in een netwerkspel zit.

Druk op een toets.","Nie możesz zacząć nowej gry
podczas gry sieciowej.

Wciśnij dowolny klawisz.","Você não pode iniciar um novo jogo
durante um jogo em rede.

Aperte uma tecla.","Não podes iniciar um novo jogo
durante um jogo em rede.

Carrega numa tecla qualquer.","Nu poți începe un joc nou în timpul unui joc în
rețea.

Apasă orice tastă.","Невозможно начать новую игру
при активной сетевой игре.

Нажмите любую клавишу.","Не можете да започнете
нову игру током мрежне игре.

Притисните тастер.",
